payment_id,order_id,payment_date
4001,3001,2004-01-01
4002,3002,2004-01-24
4003,3003,2004-02-16
4004,3004,2004-03-10
4005,3005,2004-04-02
4006,3006,2004-04-25
4007,3007,2004-05-18
4008,3008,2004-06-10
4009,3009,2004-07-03
4010,3010,2004-07-26
4011,3011,2004-08-18
4012,3012,2004-09-10
4013,3013,2004-10-03
4014,3014,2004-10-26
4015,3015,2004-11-18
4016,3016,2004-12-11
4017,3017,2005-01-03
4018,3018,2005-01-26
4019,3019,2005-02-18
4020,3020,2005-03-13
4021,3021,2005-04-05
4022,3022,2005-04-28
4023,3023,2005-05-21
4024,3024,2005-06-13
4025,3025,2005-07-06
4026,3026,2005-07-29
4027,3027,2005-08-21
4028,3028,2005-09-13
4029,3029,2005-10-06
4030,3030,2005-10-29
4031,3031,2005-11-21
4032,3032,2005-12-14
4033,3033,2006-01-06
4034,3034,2006-01-29
4035,3035,2006-02-21
4036,3036,2006-03-16
4037,3037,2006-04-08
4038,3038,2006-05-01
4039,3039,2006-05-24
4040,3040,2006-06-16
4041,3041,2006-07-09
4042,3042,2006-08-01
4043,3043,2006-08-24
4044,3044,2006-09-16
4045,3045,2006-10-09
4046,3046,2006-11-01
4047,3047,2006-11-24
4048,3048,2006-12-17
4049,3049,2007-01-09
4050,3050,2007-02-01
4051,3051,2007-02-24
4052,3052,2007-03-19
4053,3053,2007-04-11
4054,3054,2007-05-04
4055,3055,2007-05-27
4056,3056,2007-06-19
4057,3057,2007-07-12
4058,3058,2007-08-04
4059,3059,2007-08-27
4060,3060,2007-09-19
4061,3061,2007-10-12
4062,3062,2007-11-04
4063,3063,2007-11-27
4064,3064,2007-12-20
4065,3065,2008-01-12
4066,3066,2008-02-04
4067,3067,2008-02-27
4068,3068,2008-03-21
4069,3069,2008-04-13
4070,3070,2008-05-06
4071,3071,2008-05-29
4072,3072,2008-06-21
4073,3073,2008-07-14
4074,3074,2008-08-06
4075,3075,2008-08-29
4076,3076,2008-09-21
4077,3077,2008-10-14
4078,3078,2008-11-06
4079,3079,2008-11-29
4080,3080,2008-12-22
4081,3081,2009-01-14
4082,3082,2009-02-06
4083,3083,2009-03-01
4084,3084,2009-03-24
4085,3085,2009-04-16
4086,3086,2009-05-09
4087,3087,2009-06-01
4088,3088,2009-06-24
4089,3089,2009-07-17
4090,3090,2009-08-09
4091,3091,2009-09-01
4092,3092,2009-09-24
4093,3093,2009-10-17
4094,3094,2009-11-09
4095,3095,2009-12-02
4096,3096,2009-12-25
4097,3097,2010-01-17
4098,3098,2010-02-09
4099,3099,2010-03-04
4100,3100,2010-03-27
4101,3101,2010-04-19
4102,3102,2010-05-12
4103,3103,2010-06-04
4104,3104,2010-06-27
4105,3105,2010-07-20
4106,3106,2010-08-12
4107,3107,2010-09-04
4108,3108,2010-09-27
4109,3109,2010-10-20
4110,3110,2010-11-12
4111,3111,2010-12-05
4112,3112,2010-12-28
4113,3113,2011-01-20
4114,3114,2011-02-12
4115,3115,2011-03-07
4116,3116,2011-03-30
4117,3117,2011-04-22
4118,3118,2011-05-15
4119,3119,2011-06-07
4120,3120,2011-06-30
4121,3121,2011-07-23
4122,3122,2011-08-15
4123,3123,2011-09-07
4124,3124,2011-09-30
4125,3125,2011-10-23
4126,3126,2011-11-15
4127,3127,2011-12-08
4128,3128,2011-12-31
4129,3129,2012-01-23
4130,3130,2012-02-15
4131,3131,2012-03-09
4132,3132,2012-04-01
4133,3133,2012-04-24
4134,3134,2012-05-17
4135,3135,2012-06-09
4136,3136,2012-07-02
4137,3137,2012-07-25
4138,3138,2012-08-17
4139,3139,2012-09-09
4140,3140,2012-10-02
4141,3141,2012-10-25
4142,3142,2012-11-17
4143,3143,2012-12-10
4144,3144,2013-01-02
4145,3145,2013-01-25
4146,3146,2013-02-17
4147,3147,2013-03-12
4148,3148,2013-04-04
4149,3149,2013-04-27
4150,3150,2013-05-20
4151,3151,2013-06-12
4152,3152,2013-07-05
4153,3153,2013-07-28
4154,3154,2013-08-20
4155,3155,2013-09-12
4156,3156,2013-10-05
4157,3157,2013-10-28
4158,3158,2013-11-20
4159,3159,2013-12-13
4160,3160,2014-01-05
4161,3161,2014-01-28
4162,3162,2014-02-20
4163,3163,2014-03-15
4164,3164,2014-04-07
4165,3165,2014-04-30
4166,3166,2014-05-23
4167,3167,2014-06-15
4168,3168,2014-07-08
4169,3169,2014-07-31
4170,3170,2014-08-23
4171,3171,2014-09-15
4172,3172,2014-10-08
4173,3173,2014-10-31
4174,3174,2014-11-23
4175,3175,2014-12-16
4176,3176,2015-01-08
4177,3177,2015-01-31
4178,3178,2015-02-23
4179,3179,2015-03-18
4180,3180,2015-04-10
4181,3181,2015-05-03
4182,3182,2015-05-26
4183,3183,2015-06-18
4184,3184,2015-07-11
4185,3185,2015-08-03
4186,3186,2015-08-26
4187,3187,2015-09-18
4188,3188,2015-10-11
4189,3189,2015-11-03
4190,3190,2015-11-26
4191,3191,2015-12-19
4192,3192,2016-01-11
4193,3193,2016-02-03
4194,3194,2016-02-26
4195,3195,2016-03-20
4196,3196,2016-04-12
4197,3197,2016-05-05
4198,3198,2016-05-28
4199,3199,2016-06-20
4200,3200,2016-07-13
4201,3201,2016-08-05
4202,3202,2016-08-28
4203,3203,2016-09-20
4204,3204,2016-10-13
4205,3205,2016-11-05
4206,3206,2016-11-28
4207,3207,2016-12-21
4208,3208,2017-01-13
4209,3209,2017-02-05
4210,3210,2017-02-28
4211,3211,2017-03-23
4212,3212,2017-04-15
4213,3213,2017-05-08
4214,3214,2017-05-31
4215,3215,2017-06-23
4216,3216,2017-07-16
4217,3217,2017-08-08
4218,3218,2017-08-31
4219,3219,2017-09-23
4220,3220,2017-10-16
4221,3221,2017-11-08
4222,3222,2017-12-01
4223,3223,2017-12-24
4224,3224,2018-01-16
4225,3225,2018-02-08
4226,3226,2018-03-03
4227,3227,2018-03-26
4228,3228,2018-04-18
4229,3229,2018-05-11
4230,3230,2018-06-03
4231,3231,2018-06-26
4232,3232,2018-07-19
4233,3233,2018-08-11
4234,3234,2018-09-03
4235,3235,2018-09-26
4236,3236,2018-10-19
4237,3237,2018-11-11
4238,3238,2018-12-04
4239,3239,2018-12-27
4240,3240,2019-01-19
4241,3241,2019-02-11
4242,3242,2019-03-06
4243,3243,2019-03-29
4244,3244,2019-04-21
4245,3245,2019-05-14
4246,3246,2019-06-06
4247,3247,2019-06-29
4248,3248,2019-07-22
4249,3249,2019-08-14
4250,3250,2019-09-06
4251,3251,2019-09-29
4252,3252,2019-10-22
4253,3253,2019-11-14
4254,3254,2019-12-07
4255,3255,2019-12-30
4256,3256,2020-01-22
4257,3257,2020-02-14
4258,3258,2020-03-08
4259,3259,2020-03-31
4260,3260,2020-04-23
4261,3261,2020-05-16
4262,3262,2020-06-08
4263,3263,2020-07-01
4264,3264,2020-07-24
4265,3265,2020-08-16
4266,3266,2020-09-08
4267,3267,2020-10-01
4268,3268,2020-10-24
4269,3269,2020-11-16
4270,3270,2020-12-09
4271,3271,2021-01-01
4272,3272,2021-01-24
4273,3273,2021-02-16
4274,3274,2021-03-11
4275,3275,2021-04-03
4276,3276,2021-04-26
4277,3277,2021-05-19
4278,3278,2021-06-11
4279,3279,2021-07-04
4280,3280,2021-07-27
4281,3281,2021-08-19
4282,3282,2021-09-11
4283,3283,2021-10-04
4284,3284,2021-10-27
4285,3285,2021-11-19
4286,3286,2021-12-12
4287,3287,2022-01-04
4288,3288,2022-01-27
4289,3289,2022-02-19
4290,3290,2022-03-14
4291,3291,2022-04-06
4292,3292,2022-04-29
4293,3293,2022-05-22
4294,3294,2022-06-14
4295,3295,2022-07-07
4296,3296,2022-07-30
4297,3297,2022-08-22
4298,3298,2022-09-14
4299,3299,2022-10-07
4300,3300,2022-10-30
4301,3301,2022-11-22
4302,3302,2022-12-15
4303,3303,2023-01-07
4304,3304,2023-01-30
